P	POP	n
37.58826725	Roscoff	6
37.14014123	Roscoff	6
37.37099402	Roscoff	6
37.54752852	Roscoff	6
37.42531233	Roscoff	6
36.84139055	Roscoff	6
37.08582292	Roscoff	6
37.57468767	Roscoff	6
36.90928843	Roscoff	6
37.81912004	Roscoff	6
37.80554047	Roscoff	6
37.47963064	Roscoff	6
37.60184682	Roscoff	6
38.00923411	Roscoff	6
36.80065182	Roscoff	6
36.20315046	Roscoff	6
36.61053775	Roscoff	6
37.95491581	Roscoff	6
37.35741445	Roscoff	6
38.04997284	Roscoff	6
37.94133623	Roscoff	6
37.45247148	Roscoff	6
37.94133623	Roscoff	6
37.05866377	Roscoff	6
36.88212928	Roscoff	6
36.71917436	Roscoff	6
38.00923411	Roscoff	6
37.12656165	Roscoff	6
37.60184682	Roscoff	6
36.27104834	Roscoff	6
37.00434546	Roscoff	6
38.00923411	Roscoff	6
37.39815318	Roscoff	6
37.23519826	Roscoff	6
38.04997284	Roscoff	6
36.5833786	Roscoff	6
37.91417708	Roscoff	6
36.75991309	Roscoff	6
36.36610538	Roscoff	6
36.6376969	Roscoff	6
37.42531233	Roscoff	6
37.43889191	Roscoff	6
37.72406301	Roscoff	6
37.47963064	Roscoff	6
37.3845736	Roscoff	6
37.08582292	Roscoff	6
37.60184682	Roscoff	6
37.30309614	Roscoff	6
36.6376969	Roscoff	6
37.58826725	Roscoff	6
36.97718631	Roscoff	6
37.9005975	Roscoff	6
36.55621945	Roscoff	6
37.26235741	Roscoff	6
36.62411733	Roscoff	6
36.74633351	Roscoff	6
36.01303639	Roscoff	6
36.70559479	Roscoff	6
36.66485606	Roscoff	6
36.65127648	Roscoff	6
37.9005975	Roscoff	6
36.50190114	Roscoff	6
36.78707224	Roscoff	6
36.50190114	Roscoff	6
38.10429115	Roscoff	6
37.98207496	Roscoff	6
36.80065182	Roscoff	6
36.93644758	Roscoff	6
36.65127648	Roscoff	6
37.23519826	Roscoff	6
36.96360674	Roscoff	6
37.80554047	Roscoff	6
37.41173275	Roscoff	6
38.17218903	Roscoff	6
41.20043455	Roscoff	8
41.59424226	Roscoff	8
41.71645845	Roscoff	8
41.17327539	Roscoff	8
41.29549158	Roscoff	8
42.01520913	Roscoff	8
41.73003802	Roscoff	8
41.25475285	Roscoff	8
41.34980989	Roscoff	8
41.86583379	Roscoff	8
40.92884302	Roscoff	8
41.5127648	Roscoff	8
40.07332971	Roscoff	8
41.64856056	Roscoff	8
41.32265073	Roscoff	8
40.68441065	Roscoff	8
41.47202607	Roscoff	8
41.34980989	Roscoff	8
40.26344378	Roscoff	8
41.34980989	Roscoff	8
41.20043455	Roscoff	8
41.73003802	Roscoff	8
41.78435633	Roscoff	8
40.7115698	Roscoff	8
40.01901141	Roscoff	8
40.90168387	Roscoff	8
